level_0,level_1,level_2,incorr2_data
2,1,15,1.637406991746753e-05
2,1,16,2.0119401169391734e-05
2,1,17,2.3393826616742853e-05
2,1,18,2.6507978722572004e-05
2,1,19,2.8722855923292868e-05
2,1,20,2.851246432978606e-05
2,1,21,2.3641653012732456e-05
2,1,22,1.4634787148476197e-05
2,1,23,4.994909688172446e-06
2,1,24,3.573620741508604e-07
2,2,0,1.0520123189382226e-05
2,2,1,1.1155694831154416e-05
2,2,2,9.932028626941569e-06
2,2,3,6.637877330608699e-06
2,2,4,3.0216866885051004e-06
2,2,5,1.1232541677631125e-06
2,2,6,1.7083028324021445e-06
2,2,7,3.668209010447695e-06
2,2,8,5.371730447232431e-06
2,2,9,5.984776087693326e-06
2,2,10,6.159349232725414e-06
2,2,11,6.985275935627905e-06
2,2,12,8.9637645458991e-06
2,2,13,1.1342878302313434e-05
2,2,14,1.3018706716410168e-05
2,2,15,1.3391109150143101e-05
2,2,16,1.3048995073217822e-05
2,2,17,1.2922020879809122e-05
2,2,18,1.3477658122445016e-05
2,2,19,1.3974042875771115e-05
2,2,20,1.3327930554046189e-05
2,2,21,1.1026139855541508e-05
2,2,22,8.045195256102013e-06
2,2,23,5.985703408505072e-06
2,2,24,5.9950133602090295e-06
3,0,0,-1.5238484820354035e-06
3,0,1,-3.919224458707115e-06
3,0,2,-4.439583492729193e-06
3,0,3,-2.8201350198333707e-06
3,0,4,-5.769437479581449e-07
3,0,5,4.207065620838477e-07
3,0,6,-3.3467738874910925e-07
3,0,7,-1.7393664425051423e-06
3,0,8,-2.3075594415850477e-06
3,0,9,-1.564902982535723e-06
3,0,10,-1.1572090160913942e-07
3,0,11,1.366965373014282e-06
3,0,12,3.026019703227854e-06
3,0,13,5.454581050223946e-06
3,0,14,8.664730687053584e-06
3,0,15,1.149760445366769e-05
3,0,16,1.2396541026741875e-05
3,0,17,1.06322784396973e-05
3,0,18,6.97313891055083e-06
3,0,19,3.0223129665660735e-06
3,0,20,7.531852587273416e-08
3,0,21,-1.7389529862075554e-06
3,0,22,-3.198897732009518e-06
3,0,23,-5.2044521774130255e-06
3,0,24,-7.889445377496187e-06
3,1,0,7.703609413707395e-06
3,1,1,-5.227752886322834e-07
3,1,2,-1.0156628710689076e-05
3,1,3,-1.5406223476398338e-05
3,1,4,-1.3720490301053823e-05
3,1,5,-7.519374160617576e-06
3,1,6,-1.9073462965479496e-06
3,1,7,-4.7323233752962415e-07
3,1,8,-2.9418816195173238e-06
3,1,9,-6.143230075986758e-06
3,1,10,-7.001709413740178e-06
3,1,11,-4.637360394534436e-06
3,1,12,-3.4480479430320126e-07
3,1,13,3.926195917599028e-06
3,1,14,6.81526954546041e-06
3,1,15,7.805145403726329e-06
3,1,16,6.849008161420123e-06
3,1,17,4.2415050024763486e-06
3,1,18,6.426438272038252e-07
3,1,19,-3.0894706020425343e-06
3,1,20,-6.626074999586864e-06
3,1,21,-1.0665143213134528e-05
3,1,22,-1.6547049991556253e-05
3,1,23,-2.472504020724505e-05
3,1,24,-3.3530235440920814e-05
3,2,0,2.315776362540127e-06
3,2,1,1.1348341273270508e-06
3,2,2,5.881584999191443e-07
3,2,3,1.289834263964298e-07
3,2,4,-1.1669939514104304e-06
3,2,5,-3.4374341851789003e-06
3,2,6,-5.4298307886368514e-06
3,2,7,-5.2750809904199975e-06
3,2,8,-2.1930389593132984e-06
3,2,9,2.5217399900759004e-06
3,2,10,6.297561870432448e-06
3,2,11,7.367811595681108e-06
3,2,12,6.2137050024878965e-06
3,2,13,5.058828976765519e-06
3,2,14,5.8736412904488475e-06
3,2,15,8.726686194657327e-06
3,2,16,1.1920847641987316e-05
3,2,17,1.3627976498610918e-05
3,2,18,1.3414040058501659e-05
3,2,19,1.2324909222962842e-05
3,2,20,1.1597758011719329e-05
3,2,21,1.1315011384235862e-05
3,2,22,1.0293224630590148e-05
3,2,23,7.240061057583406e-06
3,2,24,2.1185515240270867e-06
4,0,0,-1.9263909794626573e-07
4,0,1,3.860779964502415e-06
4,0,2,7.826835761293182e-06
4,0,3,1.0678002740813458e-05
4,0,4,1.2411170067338942e-05
4,0,5,1.3470485483322073e-05
4,0,6,1.375443264382977e-05
4,0,7,1.2494487059220476e-05
4,0,8,9.095767881285664e-06
4,0,9,4.044243966073638e-06
4,0,10,-1.2672008058523877e-06
4,0,11,-5.579407017115048e-06
4,0,12,-8.736838338467676e-06
4,0,13,-1.152856729175623e-05
4,0,14,-1.4702251283671723e-05
4,0,15,-1.8059321424410807e-05
4,0,16,-2.057820705627213e-05
4,0,17,-2.1294401402781175e-05
4,0,18,-2.0154651729366205e-05
4,0,19,-1.7992079933521594e-05
4,0,20,-1.5920872338799717e-05
4,0,21,-1.4512962877943555e-05
4,0,22,-1.3575268005676833e-05
4,0,23,-1.2409777449030835e-05
4,0,24,-1.043604949789754e-05
4,1,0,9.417440154989287e-06
4,1,1,1.444443354253744e-05
4,1,2,1.8642538912390003e-05
4,1,3,1.9130471913225526e-05
4,1,4,1.608554472436077e-05
4,1,5,1.2094517476868142e-05
4,1,6,9.761294641001813e-06
4,1,7,9.546189682082303e-06
4,1,8,9.875141551487392e-06
4,1,9,8.559784455650066e-06
4,1,10,4.456781673998112e-06
4,1,11,-2.075692676961033e-06
4,1,12,-9.319345692973145e-06
4,1,13,-1.5011937872218902e-05
4,1,14,-1.7158556403160932e-05
4,1,15,-1.5215014217831403e-05
4,1,16,-1.0483884554349026e-05
4,1,17,-5.5758814518005605e-06
4,1,18,-2.519930459390289e-06
4,1,19,-1.4528565987380736e-06
4,1,20,-5.90859289951039e-07
4,1,21,1.967287455256189e-06
4,1,22,6.703139760997365e-06
4,1,23,1.225069299900074e-05
4,1,24,1.6806413146110816e-05
4,2,0,7.08162344019485e-06
4,2,1,1.0420493500286614e-05
4,2,2,1.129524988306127e-05
4,2,3,1.0545080451966529e-05
4,2,4,1.0251411884345662e-05
4,2,5,1.1366106797342846e-05
4,2,6,1.2355930996308935e-05
4,2,7,1.0669084599432862e-05
4,2,8,5.382995812574338e-06
4,2,9,-1.4973529910390708e-06
4,2,10,-6.808365389177431e-06
4,2,11,-9.082831956050647e-06
4,2,12,-9.842233122303828e-06
4,2,13,-1.1705374519607042e-05
4,2,14,-1.5557429519406397e-05
4,2,15,-1.9412237741607986e-05
4,2,16,-2.0465153225178315e-05
4,2,17,-1.7896500042494383e-05
4,2,18,-1.3875376523477976e-05
4,2,19,-1.144107681052501e-05
4,2,20,-1.1864122092794581e-05
4,2,21,-1.3632187822940761e-05
4,2,22,-1.4315532675523795e-05
4,2,23,-1.2800259182512894e-05
4,2,24,-1.0154015186675117e-05
5,0,0,-4.260060149860532e-06
5,0,1,-4.02649208442203e-06
5,0,2,-3.4516317614830168e-06
5,0,3,-1.747654304048017e-06
5,0,4,1.499800532267483e-06
5,0,5,5.657771264574806e-06
5,0,6,9.239310885620277e-06
5,0,7,1.106898142220797e-05
5,0,8,1.1258207254699723e-05
5,0,9,1.1110844372560743e-05
5,0,10,1.1912834629747412e-05
5,0,11,1.3835264168553262e-05
5,0,12,1.58027195165339e-05
5,0,13,1.6606993696849696e-05
5,0,14,1.5996271633487514e-05
5,0,15,1.4888699155504986e-05
5,0,16,1.4326226878184477e-05
5,0,17,1.4400595897258754e-05
5,0,18,1.4022930035709289e-05
5,0,19,1.1986797650380767e-05
5,0,20,8.093884509990132e-06
5,0,21,3.48615909125986e-06
5,0,22,-3.065506507687367e-07
5,0,23,-2.537912988901704e-06
5,0,24,-3.7111389800004873e-06
